Places,Population,radius(in m), time(in next 20 minute) ,Average Priority Of accident,Covid Cases,Accident Probability
1001,175,100,0,5,12,0.037495701
1001,175,100,0.01,9,11,0.037655866
1001,175,100,0.03,3,13,0.037404096
1001,175,100,0.04,7,11,0.034912425
1001,175,100,0.06,5,13,0.035264055
1001,175,100,0.07,3,10,0.034758653
1001,175,100,0.08,6,13,0.029372044
1001,175,100,0.1,10,11,0.0259797
1001,175,100,0.11,9,13,0.02408355
1001,175,100,0.13,4,10,0.010604287
1001,175,100,0.14,1,13,0.003957346
1001,175,100,0.15,1,11,0.038720288
1001,175,100,0.17,5,12,0.039216979
1001,175,100,0.18,6,10,0.039546212
1001,175,100,0.19,9,12,0.04074418
1001,175,100,0.21,3,11,0.040029643
1001,175,100,0.22,7,13,0.040762745
1001,175,100,0.24,5,10,0.04008723
1001,175,100,0.25,5,13,0.039355265
1001,175,100,0.26,7,9,0.039398834
1001,175,100,0.28,7,12,0.039307528
1001,175,100,0.29,8,10,0.038890398
1001,175,100,0.31,5,12,0.03966707
1001,175,100,0.32,6,11,0.038531993
1001,175,100,0.33,3,12,0.03994705
1001,175,100,0.35,7,10,0.040793811
1001,175,100,0.36,7,12,0.040641887
1001,175,100,0.38,3,11,0.040646054
1001,175,100,0.39,5,12,0.040088745
1001,175,100,0.4,1,11,0.040666513
1001,175,100,0.42,10,13,0.039370419
1001,175,100,0.43,10,10,0.040333492
1001,175,100,0.44,1,13,0.038427048
1001,175,100,0.46,2,11,0.039101426
1001,175,100,0.47,6,12,0.039369661
1001,175,100,0.49,6,10,0.04014065
1001,175,100,0.5,3,12,0.039925076
1001,175,100,0.51,6,10,0.039066191
1001,175,100,0.53,9,12,0.040439195
1001,175,100,0.54,4,9,0.039341625
1001,175,100,0.56,2,13,0.040027748
1001,175,100,0.57,6,11,0.039967509
1001,175,100,0.58,8,13,0.039614408
1001,175,100,0.6,6,10,0.039215085
1001,175,100,0.61,8,12,0.039302602
1001,175,100,0.63,4,10,0.038778255
1001,175,100,0.64,9,12,0.038780149
1001,175,100,0.65,1,11,0.039617438
1001,175,100,0.67,2,13,0.038738474
1001,175,100,0.68,10,12,0.039434068
1001,175,100,0.69,7,13,0.040326672
1001,175,100,0.71,8,12,0.0395034
1001,175,100,0.72,4,12,0.040000091
1001,175,100,0.74,1,10,0.040495267
1001,175,100,0.75,4,12,0.039977738
1001,175,100,0.76,4,9,0.039232891
1001,175,100,0.78,5,12,0.039754587
1001,175,100,0.79,2,12,0.039050279
1001,175,100,0.81,2,12,0.040450561
1001,175,100,0.82,7,10,0.039625395
1001,175,100,0.83,7,13,0.040245216
1001,175,100,0.85,6,11,0.039906512
1001,175,100,0.86,2,13,0.039925076
1001,175,100,0.88,10,10,0.040357739
1001,175,100,0.89,1,12,0.039529163
1001,175,100,0.9,1,11,0.038631634
1001,175,100,0.92,10,12,0.040675227
1001,175,100,0.93,2,9,0.038373628
1001,175,100,0.94,6,12,0.039738296
1001,175,100,0.96,6,10,0.039279113
1001,175,100,0.97,7,13,0.039218873
1001,175,100,0.99,7,11,0.040026612
1001,647,200,0,5,47,0.073745491
1001,647,200,0.01,8,43,0.076452171
1001,647,200,0.03,7,48,0.073920826
1001,647,200,0.04,10,37,0.074397139
1001,647,200,0.06,5,48,0.073953479
1001,647,200,0.07,3,36,0.072727558
1001,647,200,0.08,7,47,0.075023942
1001,647,200,0.1,1,37,0.073291894
1001,647,200,0.11,5,45,0.074597318
1001,647,200,0.13,5,40,0.075648615
1001,647,200,0.14,8,48,0.075650034
1001,647,200,0.15,4,43,0.074052859
1001,647,200,0.17,5,46,0.073402631
1001,647,200,0.18,10,40,0.076473467
1001,647,200,0.19,7,48,0.071928261
1001,647,200,0.21,1,41,0.076440104
1001,647,200,0.22,4,47,0.072565001
1001,647,200,0.24,10,40,0.073514078
1001,647,200,0.25,10,49,0.073352231
1001,647,200,0.26,3,38,0.073964837
1001,647,200,0.28,4,47,0.075347636
1001,647,200,0.29,3,38,0.074767684
1001,647,200,0.31,4,49,0.075733087
1001,647,200,0.32,6,44,0.074678952
1001,647,200,0.33,2,45,0.074647718
1001,647,200,0.35,6,44,0.07429279
1001,647,200,0.36,10,46,0.075399455
1001,647,200,0.38,6,43,0.074905396
1001,647,200,0.39,3,48,0.072342107
1001,647,200,0.4,8,40,0.073744781
1001,647,200,0.42,2,46,0.073462969
1001,647,200,0.43,4,38,0.075486767
1001,647,200,0.44,1,47,0.074246649
1001,647,200,0.46,2,43,0.073130046
1001,647,200,0.47,2,48,0.072205104
1001,647,200,0.49,7,36,0.074555437
1001,647,200,0.5,8,45,0.076257671
1001,647,200,0.51,5,41,0.073798021
1001,647,200,0.53,2,45,0.075704693
1001,647,200,0.54,4,40,0.073661019
1001,647,200,0.56,2,49,0.072565711
1001,647,200,0.57,6,44,0.075752253
1001,647,200,0.58,10,45,0.073473617
1001,647,200,0.6,4,43,0.073276987
1001,647,200,0.61,9,48,0.072950453
1001,647,200,0.63,3,38,0.076122088
1001,647,200,0.64,9,49,0.075013294
1001,647,200,0.65,1,40,0.074161467
1001,647,200,0.67,2,45,0.074185602
1001,647,200,0.68,2,45,0.074119585
1001,647,200,0.69,4,48,0.075378869
1001,647,200,0.71,2,41,0.074828021
1001,647,200,0.72,2,47,0.073433155
1001,647,200,0.74,10,43,0.072787186
1001,647,200,0.75,10,46,0.075025361
1001,647,200,0.76,7,37,0.076057491
1001,647,200,0.78,5,46,0.074500068
1001,647,200,0.79,8,38,0.074874872
1001,647,200,0.81,4,48,0.074968573
1001,647,200,0.82,8,41,0.073379916
1001,647,200,0.83,2,49,0.074774782
1001,647,200,0.85,4,43,0.074916753
1001,647,200,0.86,5,48,0.076489794
1001,647,200,0.88,10,38,0.07256997
1001,647,200,0.89,9,47,0.073454451
1001,647,200,0.9,5,37,0.074185602
1001,647,200,0.92,3,48,0.074138042
1001,647,200,0.93,4,40,0.074789689
1001,647,200,0.94,3,46,0.076145514
1001,647,200,0.96,9,40,0.075016133
1001,647,200,0.97,8,46,0.075936816
1001,647,200,0.99,9,39,0.075212763
1001,1359,300,0,4,100,0.129656961
1001,1359,300,0.01,6,76,0.125850562
1001,1359,300,0.03,2,104,0.128511898
